video_id,duration,transcription
2f6be0a89ed03d5ad2a91165d728322e,11.0," Вот выклованы сосенью в сердце, дарящие людям зрителям, вечную весну."
0ac1817349ccfc9cd7252a95e22eb087,17.0," Вода, вода! Отсюблене было не денег в связи, и я женщин, я до сих пор люблю. Впостели хуже всего, как раз люди, которые играют с партиевной игр."
2f4bd0532525895de06ac9411287cc33,19.0," Каждый грубарь, я не знаю, 5 минут, 3 минуты должно происходить что-то интересное, какой-то драматургический поворот или что-то значимое, чтобы люди после того, как они сходили на рекламу, чтобы они вернулись и досмотрели тебя."
1e0a5151efc26a3a8e038e132f6b80f4,29.0," Эквилибр, Эквилибр, это не только это стишный руках, это когда стишный руках, стишный голове, стиш в упорах, но... Ну, то есть вот это Эквилибр, сейчас в годе. Ну вот это. Да. Ну а, чуть-чуть. Эквилибр. Ну ладно, по-моему вообще не туда работать устроиться."
0db157b2a0b65848184bf65e3cb2a57d,32.0," Годка началась прямо сейчас. Давай, давай, давай, давай, давай, давай, давай, дускорятся. Форткары. Какие спорткары, иди. Газ-газ-газ! Редактор субтитров А.Синецкая Корректор А.Егорова"
0b73cea7b2dfdd7048dd84b95f8b9b0e,32.0," Тосказал, так не бывает. Ты знаешь группу Reflex? Нет. Слышь, ума, а траж ноги на час. То есть вот такой был шоу-бизнес? Глазный и противник. Вот такой был. Саленая блядя. О, здесь идут мурашки покожи. Гром, чешлознадок. Браво, Ирнельцев, Госяк Шоу-Музловц. Редактор субтитров А. Синецкая Корректор А. Кулакова"
4a6d6e98413508867dc1adafef8c5e46,32.0," Я правильно понимаю, что ты ушел от блоги вства, где породи, уже нескольдно пишут. Классно! Я мне это как классно. Редактор субтитров А.Семкин Корректор А.Егорова"
1a291fbe33c55a983b08f5fa60f71710,55.0, Ну ладно… Редактор субтитров А.Семкин Корректор А.Егорова
4ae45fdfd387f5a00225798709fe0337,69.0," Более Девчон, лай-магазина, и тут нам все пришло иди. Одна войти еще на один шаг, чтобы сделать всех мужчин, Числивей до конца. Удалите марки-плейцы, Ужиков станут радостнее пейсы. Ты увидишь, как же хорошая твоя жена, Когда ей не нужна. Каточка твоя, Удалите марки-плейцы. Мы не можем больше жить, Потая на здресе. На лечку не буду, Девочка, пыса пейты. Сони больше не в нем удобать, Кидеде."
2e4c7dae0c99f47839880e2da7fc6769,120.0," Крассногвардейские, которые все по привычке называли, гадчины повсюду цвилоселень, в парке силилии, на солнце искрились фантаны, дети или морожены. И все с нетерпением ожидали открытие городского кинотеатра. Открытие было намечено на воскресенье 22 июня. А том, что здесь произошло в этом городе, в этом парке.  из множества осколков, свидетельств реальных людей. Немецкие войсказанияли Красногвардейск. Впереди были 867 дней окупаций. В возле нашего огорода со страшным грохотом разорвался снаряд. Война подошла к стенам курики.  прошли полтора километра, а они приближали победу. ТРЕВОЖНАЯ МУЗЫКА Люди были так крепче, ограниченного камня, который это не сломался. ТРЕВОЖНАЯ МУЗЫКА Все жители города должны были встать на учет, то не работает, то от обречёнка на голодную смерт.  Люди работали пока были в состоянии, хотя выходить. Не горють и браться. Времен в городе немцем не бывать. А русские будут в первлении."
1c78f72bd8c56515486ad6a1eb464d7d,182.0," ДИНАМИЧНАЯ МУЗЫКА Дорогие друзья, я вам предлагаю не замысловать эту игру. Я сейчас вам буду показывать кадр из фильма. И вы попробуете догадаться, либо вы уже знаете. Это технология Моушенка, пчелли в это грим. Все очень просто. О, окей. Готовы? Да. Я тоже можно буду угощить в грим. ДИНАМИЧНАЯ МУЗЫКА  Да, совершенно верно. Ну, вас не подловишь? Как-то даже бедентриги с на этих проходят. Папу, что мы подготовили. А вы-то что, молчите, спеете? Так, давайте я начну. Вот эти уливки. Это у когри. Хэш-грим. Какая смесь? Конечно, грим. Чужой, чужой. Это фанг-грим.  Я думаю, что носа. Да, да. На самом деле это полностью захват мимики лица. Здесь нету грима вообще. Это один из вирчайших примеров. Как Сан-Десеркисом был, вообще технологий, голом, технологий захват движений здесь. Как раз очень детально прорабатывалось.  Объясни, Капдаха, ты с этим сможешь жить. Ты обрекаешь другого человека навечный оковы, а сам будешь веселиться, гулять и пить. Да, это по мне."
3b69f98d51c1028633cff24c7d2937e0,187.0," Ортур, спрячь меня!  и стришки в прошлом. Парик Махеры, древнего эгипта, делали парики. И для важности наклеивали фараоном и скусственные бороды. Слышал Макс? Для Варности лучше борода. А жилицам, они полностью прилиг головы. Да, Лиса, это я могу. Ага, сейчас Артур полетели дальше.  Кази сказано, всем брить бороды. Нет, нет, она не настоящая. А где парики ваши? Не гоже без париков. А вот это не порядок. Анушагом марш к цирюльнику. Цирюльник, а кто это? Так раньше называли парик махеров. Не бедам, я тоже наукой встреч в владею. Главная нужница крепко в руке дядя.  на миножнецами намного удобнее встречу. А еще появились плойки и фены. Так, Макс, садись. Макс, ты явно старше стал. Точно."
0e22ec9e51bd98309b4fe6870c2ce9c8,207.0," На заводе работы более 8 тысяч сопротивников и с них более чем 37% молодые специалисты. über. Oh  в тысячи бюпланов по два. Аторумия Николка Стреллана не забывала никогда. Школьникам всегда рассказывали о мальчишках, которые в год великатичной войды в заводских цехах, стоя на ящиках по 12-14 часов работали на тагарных станках. Проект матери и круглоснутьченый работу шип-госто, трехноколкозных поляк и таганек. Но всегда, на первом плане были участники боевые действия, которые совершали победы и кого-то.  и она тоже производился в дозанью. Ни скипоком и огромное спасибо к дозанскому авиационному заводу за победу, потому что именно в вашем рукам, но в небе миликатичной войны были совершены самые лучшие завоевания и победы."
2e4eca888ca4bb3fc09f967fcc500eb2,258.0," Редактор субтитров А.Синецкая Корректор А.Егорова  METTre, йдатьทрей легкихweg своего задansas, Все Hunt lorsqu'у-вс Spec theta.  Поричный за долгата пандемии. Мы как обычно третьего марта были в Париже, потому что у моей женщины один рождения мы очень жутко ссорились три дня подряд и решили провести по этот последний день в Париже каждый по своему, каждый один наединяется с собой и я ходила по Парижу и писал эту песню, писал ее о том, что как нам трудно тяжело вместе, потому что мы на столе.  Это Папса. В прямом смысле этого слова, это просто Папсятина, иногда мы сидели, слушали шуково и думали. Так мы тоже сможем."
3bb037f137368bea0b35524aad530e42,261.0," Мы с вами находимся в Форте Константин на Балдийской мили в 2022 года. На первом фестивале скорости на открытой воде.  Что-то габалтийский миль мы уже все поняли, это самая глубокая места на балтете, которая равна 400-70 метров. Именно вот это расстояние будут накрывать спарцмены, устанавливая новые рекорды.  Дай кое-поддение, друзья! Я надеюсь, что хорошо с прайброй. Питеньки волна выбила. Мы взяли это, сделали, успели обгарить, промокнуть. А у нас, чуть не с дуловетром, мы сегодня не кажется очень крутой день. Да, несмотря на то, что чистая Питерская,  You are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine, you are mine"
2d3c2aaf3ae0c94a04ec31cb7c384817,278.0," Хлойicana Редактор субтитров А. are Корректор А.У."" Сергей Кухов asked  Понящие я как вепси, шикарно я как лексус. Семи круче жвертишь, с ткастекс, тяж мексы, Дыши танцы на рефлексе, музы металл, фольгам плейк, Я в том сути, тебе пуге электрик, А, вызвай гитекси, спи тут ты такая, вся фея драши. Сам деле хищен те, я твоя мишень,  Отмас перамаскара О, ты горья, то я Я тебя тюни слоу, не пути уже назад Эй, я чего хорошо, но чувствитесь плувать Отмас перамаскара Мас перамаскара Ты горья, то слоу, я тебя тюни слоу Я пути уже назад  взаимоупонимания. У меня ощущение после выступления очень классное. Все команды, все молодцы, все очень супер профессионально. Наша музыка такая веселая, потому что в жизни мы очень грустные и депрессивные. И через творчество хотим это вас полнить веселые музыки. Так мы веселимся и радуемся."
2eb66cbfde5fd77eb83a95ae24d68d21,279.0," Привет всем участникам грантура Байкальской миле. Хочу пожелать вам в первую очередь. Удачи! Интересных дорог! Приключений, что они всегда эти приключения заканчивались, конечно же позитивно, новых открытий, чтобы по дороге не встречались дуракип. Дорогие были не всегда ровные, но всегда интересны. Надеюсь, увидимся всем в Максимихе, на Фине,  приветствовать организаторов и участников проекта Байкальская Миля. Мы, не первый год, очень внимательно среди им и поддерживаем проект. Нам очень импанируют желание организаторов проекта провести мероприятия по технического виду спорта мирового уровня на уникальном природном объекте, на озере Байкал. И при этом собрести все экологические требования, оставить его таким же чистым, как он был.  по-красиве. Мы очень рады в этом году принять участие в вашем увлекательном фестивале, подготовили для вас специальные задания в рамках ваших маршрутов. И очень рады, что вы сможете их выполнять и большое количество жителей нашей страны, которые будут следить за событиями фестивали, смогут узнать новую информацию и историю элега отечественной войне отружения кахтыла и ветеранов. Надеюсь,  такие вот новые задания. Я буду следить за всеми вами, пусть даже удалённая из Украины, оценивать все ваши задания и выносить свой суровый вердикт. Поэтому ребята желают, чтобы вы все получили много фана, удовольствия и самое главное не забывайте безопасности. Да, и второй любите своих женщин."
3b1309649ff64b03b77f9e6925fa458f,281.0," О-А.  Класс, выпила, выпила, уй, как ты моя класа, Сеток, поля, доза, там, поля, татла, Хочу, ты, ты, закеян, я, ты, моя гила, Ну, не, па, не, па, не, па, па, макинам, Ну, на киран, ты, пара, с ним, мирам, Город, а, боль, ма, город, май, лайк, Город, вак, как, дак, са, мне, она, та, Ука, пол, ли, вка, па, коза, тарай, А, рамот, ва, ламот,  Нам и не напало это по-я-играм И раздал по бою ту шуран часть.  дома и послушать пиццу, потому что пицца, как раз, то там музыка, то музыка, которая спасёт вас от скухи. Да, это серьезно. Всем будет лучше, если все будут слушать пиццу."
1dbc2732cedac20ab19cf7dbc17ce3b8,331.0," Так, хорошо, наконец. Да, на устроечка! Супер, никаких бабушек-интлементов. Так, у никакого захолмения мельгего наконец-то. А вы взгляните сайф вообще ничего не уголы и стены. Ну как уголы стены? А если еще этого хуже черновуха? Бетон? Да, чтобы он где нас, алофт? Ну, кстати, алофт, пойдем посмотрим.  Ну вот, вот, смотри, избавились от всего лишнего, а дышать как-то легче стало. Вот я бы все так оставила. Круто было бы. Ладно, что рыбешить надо? Вешим.  Так, Алис, давай по центру телевизора. Что тут по центру? Слушай, квартира съемная. Нам тут запретили, дырявить стены. Держаться все будет на самотвращиваться к речках. Серьезно будет держаться. Будет они даже картинно выдерживают. Поэтому прикладывая к стене, не очень высокопы, потому что будет еще верхний ряд до кора. Тоже на крючках? Тоже на крючках. Давай пробовать. И первый кашун.  Я еще держится пока, да? Чего мне не держится? А чё же мы тогда в других объях так сверли листен? Могли бы так же накрыть все повезть? Все-таки эти крючки предоазначены для легкого до кора и выдерживают всего без дочи 4 килограмм полки я бы не стал укрепить на них. А я бы крепила, потому что уже очень соскучился по полку. Ну что, непременно сделаем их в другом объекте. Сделаем. Да, встретим в новых комнатах. Да, да, да."
0d5137eb3278b721a353749a75252860,336.0," Булять у традиционно ставится пример как триратный регион, где мирно уживаются люди различных функциональств и культур и веры с преданей. Как шутит в Булять здесь порядки вещей, утром сходить в церковь, не ухдаться, а вечером отправиться к шаману.  и царственной и загадочной. При этом каждый народ населяющий ее неоднароден. В многом национальной республике Буряти прижинает около миллиона человек. Большинство населения составляют русские. Второй по численности, этнической обществе являются бурятами. А третье месте – Сибирские татары. Данный момент находится на Семейском комплексе. На них он представлен три дня домани.  ¡Sombrón, yeah! ¡Sombrón, yeah! ¡Sombrón, yeah! ¡Sombrón, yeah! ¡Uy, que se ve, a las guardonillas! ¡Sombrón, yeah! ¡Sombrón, yeah!  быть к нам долгослонными. Брять объединяет нас. У нас в каждую свой путь, но этот путь лежит так или иначе через бурять. И бурять и больше чем байкал."
3d09581a8dc3029466120aefbf610315,344.0," Редактор субтитров А.Синецкая Корректор А.Сухиашвили Корректор А.Сухиашвили Можете проходить? М.M. Спасибо. Привет, говно! Ты спросишь, почему я тебя так называю? А всё просто! Дело в том, что мы, это то, что мы идти! А я уже через монитор вижу, что ты готовишься заварить кофе 3-1! Где 3?  Классная растяжка пацаны, уважение. Нормальная дура. Ну что ж, прямо сейчас я покажу вам целый перечень продуктов, в которых содержится наибольшое количество калорий. Итак, начнем. Вот здесь очень много калорий. Вот здесь вот еще больше калорий, но и самое большое количество калорий у нас, конечно же, здесь. Это я вам даже трогать не садусь.  Итак, перед вами набор продуктов, которые просто отец творяет правильное питание. Настало время поработать с Блендером. Прямо сейчас Артёмка с помощью долгоктейли докажет, что пухудение это гораздо легче, чем кажется. Вот видите, и трёх килограмм, как не бывало.  Правильное питание, это выбор правильных людей. Стоп снятом. Не могу, что я бы не... Нет, это... Я как с вашей игрой, понапихали меня всего на съемках."
0b7834cc1bb493636600674074345998,359.0," СПОКОЙНАЯ МУЗЫКА Всем здорово! Это самое несправедливое шоу женский труд. Шоу, где девчонок сегодня ждет грязь, которую они будут делать своими руками. Заставка! МУЗЫКАЛЬНАЯ ЗАСТАВКА Чась шоу, которую можно забыть, но я напомню,  Ну ты тогда можешь попросить подсказку. А можно? Конечно. Прошу подсказку. Это не просто, да? Прошу подсказку. Не надо что-то вы за это сделаете. С меня нужно будет выполнить задание. Если ты выполняешь задание, то тебе целых 30 секунд буду помогать я вам. На акте нет, я думаю, что-то до получится. Тебе нужно будет отгадать, что из этого воблер. Воблер.  Давай вот это, вот, 3дин плюс 500. Это неправильно. Тебя ждет наказания от грамила. Я поняла. Погнали грамила! НАПРЯЖЕННАЯ МУЗЫКА Паново, чё? Заново! Я уже третий раз его собираю, поэтому уже, так сказать, опыт есть. Горшоник.  девушка может получить 30 тысячу,равляя к незнакомым мужчинам и не чувствовать себя беспринципной. И в конце и диритрия! А-а-а!"
